v,vw,o,c,h,l,t,n
1938264.0,322.0491,323.82,322.49,324.2422,320.54,1683864000000,42085
2191609.0,322.6977,322.89,323.53,323.83,320.13,1684123200000,47960
2139996.0,323.6697,322.46,323.75,324.69,322.355,1684209600000,47913
3047626.0,326.8602,325.02,327.39,328.26,324.82,1684296000000,53759
2808329.0,328.5298,326.87,329.76,329.98,325.85,1684382400000,55114
4323538.0,330.9161,331.0,330.39,333.94,329.12,1684468800000,60374
2763422.0,329.5486,330.75,329.13,331.49,328.35,1684728000000,49468
4031342.0,324.9806,328.19,323.11,329.27,322.97,1684814400000,67598
3075393.0,320.5336,322.71,320.2,323.0,319.56,1684900800000,56703
4251935.0,318.9458,320.56,319.02,320.56,317.71,1684987200000,64559
3229873.0,320.7912,320.44,320.6,322.63,319.665,1685073600000,52449
3232461.0,321.2715,321.86,322.19,322.47,319.0,1685419200000,59286
6175417.0,320.7787,321.12,321.08,322.41,319.39,1685505600000,61329
3377699.0,322.0575,321.42,323.12,323.22,319.53,1685592000000,58741
3962988.0,329.1,325.16,329.48,330.67,324.42,1685678400000,67721
3373145.0,328.625,330.89,328.58,330.89,327.57,1685937600000,61972
3163994.0,332.1408,329.04,333.41,334.16,328.68,1686024000000,58716
3730381.0,334.3716,334.01,335.42,335.82,331.43,1686110400000,55527
2759715.0,335.6743,335.49,335.95,336.32,334.1,1686196800000,50885
2619487.0,335.6947,335.76,335.29,337.59,334.915,1686283200000,52027
2874530.0,333.4821,335.16,333.6,335.345,332.22,1686542400000,57604
2953682.0,335.656,333.22,336.39,336.62,332.2,1686628800000,60244
5167308.0,336.7443,337.22,335.9,340.38,334.09,1686715200000,83486
4116957.0,339.5036,335.97,339.82,341.68,335.54,1686801600000,74399
8487204.0,339.1536,341.02,338.31,341.3,337.66,1686888000000,65633
3752659.0,338.4239,338.15,338.67,339.28,336.6212,1687233600000,57978
4424961.0,339.0553,337.3,338.61,341.35,336.37,1687320000000,60188
3304552.0,336.9771,338.84,336.96,338.85,335.66,1687406400000,60545
4453846.0,335.39,335.1,335.25,337.47,334.19,1687492800000,56900
3221884.0,334.0227,335.17,334.12,335.825,331.84,1687752000000,58795
2626698.0,335.3841,334.39,335.34,336.73,334.37,1687838400000,50937
3202781.0,333.9037,336.05,334.15,336.4,332.61,1687924800000,58531
2499138.0,336.0406,334.26,336.91,337.01,334.14,1688011200000,46428
4522066.0,340.6825,338.78,341.0,342.5,338.4,1688097600000,66316
2047440.0,340.8634,340.75,342.0,342.08,338.41,1688356800000,38710
2875644.0,340.9339,340.05,341.56,341.89,338.7,1688529600000,55454
2550399.0,340.7004,339.75,341.46,341.8,338.91,1688616000000,53396
2942066.0,341.4437,340.52,340.9,344.07,340.385,1688702400000,53874
2966941.0,341.1743,340.48,341.13,343.48,339.865,1688961600000,53473
2755374.0,342.4604,341.23,343.37,343.84,340.925,1689048000000,52387
2899407.0,345.3436,345.29,345.35,346.44,344.31,1689134400000,56125
2833854.0,344.3161,345.6,343.54,346.205,343.45,1689220800000,54267
2675172.0,341.9697,344.99,341.09,345.0,340.51,1689307200000,53434
2361019.0,344.2236,341.09,344.25,345.72,341.09,1689566400000,50286
2569008.0,345.2521,344.05,345.34,347.25,343.54,1689652800000,49926
3037697.0,343.0627,344.21,342.43,345.38,341.99,1689739200000,68427
3147635.0,345.1862,343.09,346.61,346.79,342.85,1689825600000,64810
3302140.0,346.3991,346.755,345.76,347.62,345.1,1689912000000,60090
3270037.0,349.571,346.77,349.63,351.19,346.28,1690171200000,59737
3016291.0,347.4586,349.32,347.58,349.66,345.54,1690257600000,61885
2684530.0,349.6275,347.56,349.8,351.09,347.52,1690344000000,50239
2712061.0,349.8085,350.69,349.31,351.27,348.6,1690430400000,55401
2473823.0,349.7241,349.93,349.81,351.0,348.32,1690516800000,50572
