v,vw,o,c,h,l,t,n
5028202.0,160.4967,161.57,159.58,162.3,159.52,1683518400000,74523
5019809.0,159.2664,158.11,159.12,160.415,157.9125,1683604800000,78394
6161227.0,157.1682,160.44,157.09,160.44,155.881,1683691200000,88310
6666132.0,155.6459,155.38,156.22,156.32,153.89,1683777600000,86267
4898904.0,156.6883,157.0,156.62,157.93,155.56,1683864000000,77710
5096748.0,157.2026,157.23,157.2,158.1629,156.23,1684123200000,70686
7009079.0,154.1591,156.48,153.51,157.02,153.3289,1684209600000,90236
6169555.0,155.313,154.785,155.71,156.42,153.96,1684296000000,75870
7477698.0,153.0149,152.87,154.01,154.24,151.53,1684382400000,97401
8069746.0,155.2211,154.89,155.23,156.44,153.985,1684468800000,89161
11660950.0,153.3431,153.79,152.44,154.83,152.09,1684728000000,159725
10436207.0,156.696,154.14,156.85,157.6795,153.84,1684814400000,143631
7063999.0,157.3751,157.95,157.27,158.57,156.29,1684900800000,107263
7037671.0,154.5116,154.68,154.56,155.625,153.5,1684987200000,96393
7736203.0,154.1418,155.29,154.08,155.63,153.46,1685073600000,88164
7814766.0,152.4769,151.67,153.12,153.26,151.21,1685419200000,108958
13346443.0,150.9589,151.544,150.62,152.4201,150.36,1685505600000,113903
9887729.0,152.0927,151.3,152.16,153.74,149.74,1685592000000,131429
9464262.0,155.7361,154.58,156.26,156.75,153.61,1685678400000,138098
7206642.0,156.1914,158.45,155.51,158.45,155.24,1685937600000,107854
6176434.0,155.3603,153.33,155.79,156.16,153.2,1686024000000,82217
9900022.0,159.3311,156.55,159.83,160.21,156.5,1686110400000,136490
7142908.0,159.2387,160.16,159.24,160.49,157.09,1686196800000,98583
6669832.0,159.1266,159.28,158.86,160.39,158.62,1686283200000,90983
7162092.0,157.2201,157.06,157.33,159.3275,156.23,1686542400000,96344
7660771.0,159.1545,158.52,158.51,160.58,158.27,1686628800000,99606
7721057.0,157.695,159.98,157.09,160.77,156.145,1686715200000,99389
7705434.0,158.6267,157.32,158.28,159.79,157.32,1686801600000,94008
22745222.0,157.6238,158.57,157.26,159.24,157.26,1686888000000,128585
10443232.0,153.5278,156.15,153.68,156.57,152.24,1687233600000,120622
7328152.0,154.9101,152.67,154.88,155.96,152.5,1687320000000,94675
7089588.0,152.7345,153.35,152.64,153.585,151.974,1687406400000,102102
15172660.0,151.2828,151.01,151.35,151.7,150.13,1687492800000,107257
7371817.0,153.9423,151.62,154.01,154.97,151.54,1687752000000,86894
6581662.0,153.6367,153.5,153.53,154.71,152.8192,1687838400000,85529
5773828.0,154.257,153.44,154.92,155.02,152.19,1687924800000,80477
