v,vw,o,c,h,l,t,n
4273154.767,80.4491,79.984,80.5427,80.6943,79.984,1683518400000,41723
6520719.758,80.7544,80.423,80.6065,81.3248,80.423,1683604800000,49019
5053251.266,79.4541,80.9896,79.4413,81.1413,78.5794,1683691200000,51324
5117783.272,79.3927,79.3296,79.4174,79.7925,78.8667,1683777600000,51049
4332909.084,78.8444,79.4733,78.8508,79.8085,77.9808,1683864000000,48635
7973681.016,80.9326,79.1221,81.4046,81.652,79.0263,1684123200000,84331
5524555.939,81.0163,80.7901,80.7103,81.5842,80.5188,1684209600000,59325
6871696.335,82.103,81.3009,82.5778,82.6656,81.0455,1684296000000,59542
5772326.665,82.7125,82.1149,83.0088,83.2243,81.1891,1684382400000,58747
7230707.148,83.3737,83.4158,83.2083,84.4214,82.8731,1684468800000,63771
4996030.515,83.605,83.0806,83.4397,84.5491,83.0806,1684728000000,53195
5738248.824,81.7828,82.8891,81.1652,83.1125,80.83,1684814400000,61993
6275382.358,80.4609,80.83,80.5906,80.9816,79.7366,1684900800000,60516
6737513.818,80.9338,80.9258,81.0215,81.4765,80.2394,1684987200000,64696
6796536.383,82.2193,81.0774,81.9952,82.9609,81.0535,1685073600000,56568
7098351.505,81.4264,82.2187,81.7239,82.2586,80.3352,1685419200000,68750
13358816.898,80.7482,80.8619,81.0295,81.2769,79.573,1685505600000,69240
7797049.365,83.0103,80.7741,83.5355,83.9346,80.6624,1685592000000,72192
7477484.245,84.5322,84.1979,84.4374,85.1636,83.4278,1685678400000,81355
5507185.6,83.4271,84.4374,83.0806,84.4773,83.0806,1685937600000,52627
7794054.695,84.0151,83.2642,84.166,84.6848,83.0806,1686024000000,68586
9121070.658,84.912,85.1077,84.6608,85.6584,84.3097,1686110400000,89624
4477951.352,84.9522,84.4693,84.6528,85.5706,84.3017,1686196800000,48439
4368222.383,84.5746,84.8284,84.8364,85.0359,83.8627,1686283200000,45249
4678873.661,84.8646,84.8444,84.7805,85.3081,84.3176,1686542400000,47865
5411633.073,85.1502,84.6209,85.1875,85.5148,84.4453,1686628800000,56582
6429220.686,83.8428,85.1716,83.5595,85.2354,82.9689,1686715200000,66740
8733139.352,83.7682,83.352,84.1261,84.3097,82.9928,1686801600000,74100
13731709.698,85.1506,84.5571,84.8284,86.9114,84.5451,1686888000000,87333
7827691.48,83.2821,84.6608,83.0168,84.7646,82.5299,1687233600000,77021
5983541.116,83.6584,82.7135,83.8388,84.3496,82.6656,1687320000000,59132
5292520.387,83.8607,83.5275,83.6552,84.4294,83.5076,1687406400000,54759
7533160.047,82.7481,82.2745,82.8252,83.2961,81.915,1687492800000,62675
5326383.965,83.3589,82.6257,83.3599,83.8867,82.49,1687752000000,45809
5973702.56,83.6133,83.5036,83.735,83.9625,83.2841,1687838400000,58181
6009040.919,85.2579,84.0303,85.435,85.6903,83.7749,1687924800000,61514
4070713.822,85.7388,84.7725,85.9856,86.0575,84.6289,1688011200000,42583
9250658.424,87.4819,86.9832,87.6696,87.9968,86.672,1688097600000,84080
3723952.337,86.3801,87.0391,86.4166,87.2546,85.6385,1688356800000,42716
4588779.202,86.4903,86.3687,86.7119,86.9792,86.0016,1688529600000,54977
4594876.3,85.82,86.2011,85.6903,86.7917,85.2833,1688616000000,51417
4843819.834,86.3559,85.5068,86.4086,86.8875,85.3472,1688702400000,53983
5805407.118,87.8822,86.5204,88.2123,88.3719,86.4884,1688961600000,58013
4748856.217,88.6184,88.3719,88.763,89.0104,87.9729,1689048000000,49572
5403882.015,88.861,88.8188,88.747,89.3615,88.4996,1689134400000,51071
3477295.528,88.885,88.7869,88.8109,89.2418,88.4437,1689220800000,36942
3405487.351,88.12,88.5874,88.0128,88.763,87.8132,1689307200000,38863
4558343.832,89.0315,88.1245,88.6991,89.5052,87.909,1689566400000,52393
4478155.591,88.6616,88.5076,88.6353,89.2498,88.2043,1689652800000,50540
5591575.15,87.4929,88.0527,87.7015,88.4358,86.8525,1689739200000,63253
5158953.093,88.794,87.8212,88.7789,89.2578,87.7574,1689825600000,55636
10277152.361,88.1889,88.9385,88.0527,89.2897,87.6457,1689912000000,59324
6687283.554,88.166,88.1085,87.9888,88.5714,87.8372,1690171200000,58948
21329033.369,92.9733,91.3807,93.5036,94.1421,90.6864,1690257600000,178538
9449704.992,91.5837,93.4876,91.5563,93.6872,90.5427,1690344000000,93946
7752364.879,92.5134,92.2267,92.1149,93.5834,91.7239,1690430400000,79293
5603236.821,91.4388,92.2027,91.2929,92.4581,90.9936,1690516800000,51886
5169990.77,91.1517,91.3328,91.1732,91.5802,90.7582,1690776000000,51019
6596439.801,90.2616,90.7342,90.3591,91.1413,89.601,1690862400000,65490
5378374.694,89.8441,90.1596,89.3615,90.5826,89.3296,1690948800000,55926
4348531.488,89.753,89.2498,89.6728,90.3192,89.0271,1691035200000,46420
6118308.784,90.0186,90.0399,90.2314,90.8779,89.2259,1691121600000,61869
4140931.942,91.4222,90.6145,91.5642,91.7638,90.6145,1691380800000,44380
4735462.9,90.9687,91.2929,90.6225,91.6401,90.2793,1691467200000,52635
3900150.45,89.8892,90.9018,89.5211,90.9258,89.3695,1691553600000,43138
5853780.436,90.8351,89.7446,90.6385,91.8117,89.7446,1691640000000,53227
4463480.455,91.4743,90.6145,91.4605,92.091,90.5427,1691726400000,54142
4916030.224,92.0337,91.3807,92.2187,92.455,91.1413,1691985600000,48966
4276561.674,91.0517,91.5004,90.8619,91.5084,90.5587,1692072000000,43999
4614864.156,91.1744,90.7662,90.6385,92.0511,90.5547,1692158400000,55805
5734974.735,89.4846,90.9657,88.5555,91.2929,88.5395,1692244800000,59098
5651270.576,88.7676,88.0287,89.2179,89.3296,87.8053,1692331200000,55447
3686091.689,89.2233,89.4174,89.4014,89.7686,88.6032,1692590400000,43023
3308693.101,89.0996,89.5052,89.1141,90.2235,88.4597,1692676800000,38927
3568020.246,90.2484,88.9824,90.5587,90.79,88.9824,1692763200000,40496
4212178.775,89.3616,90.3432,88.6193,90.9497,88.6034,1692849600000,45554
3903537.309,89.1142,88.9465,89.3615,89.6808,87.9649,1692936000000,42447
3524358.208,90.7023,89.8244,90.9497,91.2051,89.5052,1693195200000,42744
