v,vw,o,c,h,l,t,n
6075441.0,188.0504,187.82,187.69,188.67,187.49,1683518400000,59748
6948810.0,188.6842,188.12,189.02,189.33,188.07,1683604800000,61778
9392097.0,188.7509,188.975,188.75,189.64,187.82,1683691200000,84725
8228123.0,187.4319,188.44,187.13,188.81,186.86,1683777600000,77407
7041962.0,187.0671,187.43,186.81,187.92,186.58,1683864000000,63183
5518086.0,187.3783,187.3,187.21,187.88,187.032,1684123200000,50094
9527806.0,185.4231,186.58,184.87,186.82,184.4601,1684209600000,84545
7474177.0,184.1587,184.305,184.23,184.45,183.48,1684296000000,70107
8812591.0,181.8973,182.1,181.84,182.28,181.335,1684382400000,81804
8428576.0,183.3173,182.25,183.64,184.34,181.81,1684468800000,81586
4834298.0,183.3163,183.22,183.21,183.84,182.91,1684728000000,44414
6345012.0,183.2028,182.78,183.43,183.76,182.48,1684814400000,47822
6732940.0,182.4995,183.54,181.95,183.54,181.77,1684900800000,63975
6919174.0,180.6558,181.18,180.2,181.31,180.1,1684987200000,67276
5823674.0,180.7068,181.01,180.92,181.3,180.09,1685073600000,55883
4906066.0,181.9112,181.72,182.04,182.4,181.17,1685419200000,48336
8497893.0,182.6731,182.39,182.32,183.445,182.1,1685505600000,74220
7300542.0,183.6251,182.81,183.76,184.21,182.72,1685592000000,56638
8678111.0,181.8884,183.53,181.05,183.56,180.96,1685678400000,80250
6402707.0,181.8574,180.79,182.14,182.44,180.6,1685937600000,52752
4967156.0,182.2371,182.36,182.34,182.65,181.52,1686024000000,43282
9066528.0,180.9899,181.94,180.15,183.0,180.15,1686110400000,74673
6394890.0,182.4999,182.0,182.53,183.04,181.96,1686196800000,60642
4380811.0,182.2209,182.36,182.04,182.79,181.72,1686283200000,43758
4875450.0,181.6139,181.8,181.88,181.94,181.04,1686542400000,48989
5126686.0,180.8665,182.1,180.54,182.43,180.165,1686628800000,54173
6807003.0,181.1744,181.69,180.64,181.96,180.14,1686715200000,62324
6739009.0,181.5015,180.28,181.91,182.05,180.18,1686801600000,60236
8679096.0,181.7854,181.925,181.63,182.618,181.41,1686888000000,49179
7586229.0,179.7345,180.06,179.75,180.09,179.22,1687233600000,72090
6664839.0,179.3179,179.15,179.49,179.95,178.19,1687320000000,65216
7944365.0,177.9824,178.36,177.71,178.99,177.63,1687406400000,71925
5419784.0,178.8285,179.6,178.2,179.95,178.09,1687492800000,53634
3222050.0,178.6978,179.05,178.51,179.075,178.42,1687752000000,35368
5036916.0,177.9695,179.07,177.69,179.29,177.43,1687838400000,52685
5866741.0,177.3197,177.23,177.28,177.685,176.7,1687924800000,50802
6862511.0,176.9293,175.83,177.09,177.63,175.79,1688011200000,60047
6420904.0,178.0125,177.69,178.27,178.53,177.32,1688097600000,51976
4085711.0,178.7724,178.61,178.47,179.34,178.46,1688356800000,37293
5652091.0,178.3762,179.41,177.84,179.42,177.825,1688529600000,52681
5132954.0,177.2817,177.51,177.31,177.8,176.66,1688616000000,44989
5201148.0,178.8724,178.38,178.64,179.65,178.35,1688702400000,44330
3320497.0,178.6748,178.37,178.78,178.92,178.2601,1688961600000,33114
2819610.0,179.4051,179.43,179.45,179.71,179.13,1689048000000,28355
7036590.0,181.543,181.18,181.88,181.95,181.1,1689134400000,53947
4527900.0,181.9054,181.96,182.01,182.15,181.49,1689220800000,40378
5389968.0,181.6754,181.59,181.43,182.17,181.1101,1689307200000,43553
4152919.0,181.3254,180.99,181.56,181.6307,180.64,1689566400000,31564
8242597.0,183.4917,182.79,183.64,184.23,182.32,1689652800000,70296
3847365.0,183.5,183.45,183.67,183.835,182.87,1689739200000,37709
4972856.0,182.9377,183.73,182.74,183.77,182.47,1689825600000,39338
3845361.0,182.1428,182.06,182.18,182.46,181.68,1689912000000,31811
4370026.0,181.7945,182.22,181.4,182.54,181.34,1690171200000,38720
4090149.0,182.1618,181.72,182.41,182.47,181.1,1690257600000,32946
6158432.0,182.9677,182.66,183.3,183.64,182.31,1690344000000,47004
7592752.0,180.7189,181.64,180.42,181.64,180.32,1690430400000,67059
3829197.0,181.8748,181.48,181.86,182.27,181.25,1690516800000,33617
5496890.0,182.6997,182.43,182.35,183.09,182.31,1690776000000,42913
6289869.0,180.5679,180.85,180.46,181.375,180.19,1690862400000,50506
6348266.0,179.87,180.57,179.6,180.79,179.41,1690948800000,53305
4638874.0,179.5824,179.44,179.54,179.95,179.28,1691035200000,36033
5326191.0,180.2657,180.25,180.19,180.77,179.85,1691121600000,43018
4510408.0,179.6451,180.15,179.78,180.15,179.27,1691380800000,35464
6162879.0,178.775,178.64,178.64,179.33,178.46,1691467200000,49146
4643998.0,178.1247,178.68,177.79,178.92,177.78,1691553600000,42098
5934598.0,177.9707,178.22,177.6,178.7,177.54,1691640000000,46396
5289694.0,177.8252,177.7,177.6,178.36,177.49,1691726400000,40079
9554477.0,177.042,176.86,177.06,177.58,176.5787,1691985600000,47064
7582703.0,176.8324,176.75,176.59,177.43,176.33,1692072000000,58487
6559418.0,176.1564,176.62,175.57,176.945,175.56,1692158400000,49835
7937672.0,175.4457,176.53,175.3,176.56,174.93,1692244800000,51703
6253027.0,175.4886,175.83,175.33,176.055,175.1,1692331200000,40725
4046360.0,175.5262,175.9,175.81,175.94,174.96,1692590400000,35674
5892540.0,175.9666,175.83,176.1,176.25,175.31,1692676800000,39416
7949056.0,177.8012,177.32,177.89,178.22,177.07,1692763200000,58060
5526428.0,177.9756,177.66,177.85,178.49,177.41,1692849600000,39875
6132927.0,177.4103,177.58,177.62,178.38,176.63,1692936000000,50983
4740683.0,178.1627,177.65,178.13,178.73,177.51,1693195200000,39483
7576640.0,179.4431,178.03,179.87,179.88,177.9,1693281600000,55259
6593692.0,180.5117,180.58,180.32,180.88,180.29,1693368000000,49263
