v,vw,o,c,h,l,t,n
26477845.0,107.1688,105.18,107.77,107.96,105.16,1683518400000,274830
36360141.0,108.4601,108.39,107.35,110.15,107.19,1683604800000,380333
63137967.0,110.6602,107.97,111.75,112.94,107.93,1683691200000,644818
78895029.0,116.7094,115.395,116.57,117.92,114.41,1683777600000,820239
41102330.0,117.0558,116.68,117.51,118.03,116.11,1683864000000,449679
36265765.0,116.9817,116.11,116.51,118.48,116.01,1684123200000,394410
45035558.0,119.3351,116.49,119.51,120.75,116.43,1684209600000,439545
33323588.0,120.3427,119.61,120.84,121.67,118.89,1684296000000,316015
35234233.0,122.3522,120.95,122.83,123.31,120.83,1684382400000,345265
41353445.0,123.3535,123.55,122.76,125.97,122.15,1684468800000,397585
35253034.0,125.2011,122.94,125.05,126.43,122.74,1684728000000,343443
34046251.0,123.3122,124.16,122.56,124.625,122.2104,1684814400000,354069
34182635.0,120.8865,121.12,120.9,121.91,119.86,1684900800000,367783
42316986.0,123.645,124.52,123.48,125.32,121.96,1684987200000,426170
35635937.0,124.4487,123.17,124.61,125.26,122.45,1685073600000,346236
35076658.0,123.6094,125.64,123.67,125.66,122.0,1685419200000,407500
37276787.0,123.0389,122.75,122.87,124.0601,122.5,1685505600000,302028
30772683.0,123.3956,122.815,123.72,124.42,122.62,1685592000000,319579
26980147.0,124.8133,123.99,124.67,126.15,123.76,1685678400000,293634
32305531.0,126.2297,124.01,126.01,127.43,123.84,1685937600000,324258
26638295.0,127.2259,126.01,127.31,128.29,125.36,1686024000000,287126
52538986.0,123.8273,126.97,122.5,129.04,122.12,1686110400000,450250
29389167.0,122.2448,122.225,122.14,123.225,121.24,1686196800000,318777
23656819.0,122.6821,122.25,122.23,123.755,121.91,1686283200000,269516
28338743.0,122.9636,122.785,123.64,124.05,121.66,1686542400000,290723
22278313.0,123.986,124.98,123.83,125.16,123.18,1686628800000,263336
30592297.0,123.1685,123.1,123.67,124.05,121.45,1686715200000,338046
35146268.0,124.3229,123.14,125.09,125.46,122.4,1686801600000,329746
45535553.0,124.2631,125.93,123.53,126.108,123.28,1686888000000,290638
26097492.0,123.1196,122.93,123.1,124.57,122.14,1687233600000,283414
30306336.0,120.9343,122.4,120.55,122.66,120.1,1687320000000,306075
26952246.0,121.5226,120.0,123.15,123.24,118.83,1687406400000,309735
34913637.0,122.2015,121.38,122.34,122.7879,121.06,1687492800000,267327
33969897.0,119.4698,120.76,118.34,122.0,118.265,1687752000000,350404
39535936.0,117.8587,117.08,118.33,119.08,116.1,1687838400000,404019
