v,vw,o,c,h,l,t,n
3939247.0,437.439,440.16,434.43,445.54,434.42,1683864000000,67294
2234778.0,433.485,435.37,434.51,436.0,430.67,1684123200000,46302
2129191.0,435.9194,434.2,436.65,438.475,430.66,1684209600000,46441
2274225.0,436.0111,438.8,437.47,438.95,432.73,1684296000000,50546
2268104.0,437.019,436.505,437.89,439.52,433.5948,1684382400000,50541
3442937.0,442.5664,439.0,442.38,447.51,439.0,1684468800000,57162
4398012.0,440.596,444.31,433.99,454.95,432.39,1684728000000,92884
4492062.0,426.1285,432.92,423.21,435.89,421.51,1684814400000,95866
3133017.0,425.454,424.0,425.77,428.9574,420.26,1684900800000,66324
2882190.0,425.07,426.38,427.31,428.2,419.8,1684987200000,55834
2338607.0,426.191,424.9,425.79,431.67,423.67,1685073600000,48445
2595731.0,426.1149,423.79,427.24,428.73,422.0601,1685419200000,56911
3950859.0,428.6882,427.0,429.46,430.56,424.01,1685505600000,47253
2914606.0,434.4961,430.27,436.49,436.79,428.13,1685592000000,57408
2499045.0,441.5155,439.96,442.33,444.7,436.7849,1685678400000,54691
2326416.0,444.7183,443.0,444.26,447.8,441.2488,1685937600000,52917
1495431.0,442.8747,447.83,443.07,448.87,440.02,1686024000000,39988
2458343.0,439.3254,440.2,436.37,446.69,435.68,1686110400000,53662
2040858.0,444.0098,435.88,445.66,447.47,432.34,1686196800000,51045
2082341.0,446.1122,449.3,446.04,449.3,442.6,1686283200000,49294
2566696.0,443.7644,446.15,445.31,446.99,438.68,1686542400000,49042
1766345.0,445.2459,443.67,445.72,447.4006,442.25,1686628800000,44510
2163490.0,446.3034,444.29,447.72,448.78,443.54,1686715200000,44894
2287108.0,453.2684,448.0,453.93,456.575,447.69,1686801600000,52615
4295714.0,450.5012,455.8,447.71,456.98,447.5,1686888000000,51690
2507676.0,452.156,445.86,451.95,454.88,445.11,1687233600000,57654
2347588.0,453.1302,454.5,453.0,455.34,450.2122,1687320000000,51241
2913524.0,459.1903,455.0,457.68,462.26,453.82,1687406400000,64211
