v,vw,o,c,h,l,t,n
344978900.0,28.8579,28.522,29.151,29.22,28.35,1683518400000,402862
314869460.0,28.6304,28.899,28.571,28.973,28.45,1683604800000,373192
369340480.0,28.8543,29.005,28.885,29.113,28.4613,1683691200000,445394
321589030.0,28.5599,28.896,28.578,28.95,28.246,1683777600000,403949
274063350.0,28.3289,28.529,28.34,28.78,28.046,1683864000000,363082
293464990.0,28.6735,28.5085,28.953,28.969,28.152,1684123200000,356291
449404940.0,29.4269,28.841,29.213,29.87,28.832,1684209600000,540152
432534910.0,29.8855,29.584,30.178,30.199,29.43,1684296000000,527650
748648210.0,31.3413,30.41,31.678,31.828,30.32,1684382400000,858947
473907170.0,31.2532,31.536,31.264,31.58,30.916,1684468800000,568070
370133670.0,31.2091,30.901,31.176,31.52,30.68,1684728000000,461564
356201260.0,30.9067,31.0,30.688,31.288,30.631,1684814400000,463665
721418510.0,32.1595,30.21,30.538,30.607,29.806,1684900800000,1002242
1543833770.0,38.3018,38.523,37.98,39.48,36.635,1684987200000,2225510
713860760.0,38.5311,37.89,38.946,39.17,37.55,1685073600000,960826
923358100.0,40.6589,40.595,40.111,41.938,39.949,1685419200000,1318463
1002580200.0,38.5756,39.488,37.834,40.295,37.822,1685505600000,1111105
635870950.0,39.3141,38.489,39.77,40.05,38.34,1685592000000,902290
482584210.0,39.5584,40.097,39.327,40.5,39.058,1685678400000,696884
395736510.0,39.0982,38.909,39.171,39.565,38.707,1685937600000,554607
388729140.0,38.7135,38.83,38.654,39.16,38.148,1686024000000,538129
511628290.0,38.3628,38.915,37.475,39.499,37.356,1686110400000,697455
417772400.0,38.3536,37.724,38.51,38.864,37.505,1686196800000,595408
426717470.0,39.0755,39.037,38.77,39.711,38.567,1686283200000,586699
389673350.0,39.0519,39.2,39.482,39.53,38.618,1686542400000,533506
613208160.0,40.5323,40.186,41.022,41.101,39.74,1686628800000,853507
740465020.0,41.9726,40.824,42.997,43.0,40.552,1686715200000,1012970
568490040.0,42.7834,42.602,42.653,43.289,42.147,1686801600000,762864
655697410.0,43.2029,43.45,42.692,43.721,42.6605,1686888000000,735549
451139110.0,43.2741,42.998,43.808,43.99,42.674,1687233600000,631515
551602910.0,42.8658,43.501,43.045,43.615,42.08,1687320000000,738161
417507330.0,42.9671,42.253,43.025,43.4255,42.234,1687406400000,542373
358107340.0,42.3914,42.464,42.209,42.809,42.015,1687492800000,504325
594321920.0,41.1369,42.461,40.632,42.764,40.1,1687752000000,799358
462174700.0,41.2474,40.799,41.876,41.94,40.448,1687838400000,609799
582637900.0,41.1771,40.66,41.117,41.845,40.518,1687924800000,793329
