v,vw,o,c,h,l,t,n
11470316.0,23.4936,23.4,23.48,23.5825,23.37,1683604800000,18260
18144581.0,23.3742,23.6,23.31,23.6552,23.165,1683691200000,29177
29505334.0,22.3376,22.629,22.2,22.72,22.17,1683777600000,53204
18171496.0,22.0294,22.06,22.02,22.19,21.91,1683864000000,33912
11152558.0,22.1283,22.14,22.1,22.24,22.02,1684123200000,20047
17274118.0,21.8308,22.0,21.81,22.11,21.7,1684209600000,26558
14534555.0,21.7797,21.92,21.82,21.92,21.615,1684296000000,19156
17283538.0,21.5388,21.61,21.56,21.63,21.42,1684382400000,25309
20547924.0,21.8549,21.7,21.86,22.0589,21.58,1684468800000,26808
12665502.0,21.763,21.86,21.67,21.945,21.67,1684728000000,17642
15236304.0,21.5567,21.56,21.51,21.71,21.47,1684814400000,21831
19508543.0,21.2757,21.41,21.16,21.4399,21.14,1684900800000,23701
14846603.0,21.0082,21.18,20.86,21.19,20.84,1684987200000,24779
13685072.0,21.3079,21.26,21.38,21.43,21.135,1685073600000,25294
9121112.0,21.2748,21.2506,21.3,21.3694,21.125,1685419200000,19176
18008468.0,21.5214,21.4,21.61,21.685,21.19,1685505600000,27655
17940635.0,21.8405,21.59,21.95,21.97,21.58,1685592000000,27639
13006971.0,21.7663,21.97,21.69,22.0,21.65,1685678400000,20801
10411252.0,21.6194,21.52,21.64,21.75,21.46,1685937600000,16763
9406931.0,21.6017,21.63,21.65,21.705,21.43,1686024000000,15736
16402536.0,21.6832,21.7,21.51,22.09,21.5,1686110400000,27567
20402793.0,22.241,22.01,22.3,22.36,22.01,1686196800000,31524
10976127.0,22.3404,22.26,22.27,22.516,22.21,1686283200000,19762
11908907.0,22.0315,22.06,22.08,22.12,21.92,1686542400000,20458
14921898.0,21.8542,22.11,21.74,22.21,21.66,1686628800000,22118
11298604.0,22.017,21.96,21.97,22.11,21.8901,1686715200000,19878
11361033.0,21.8168,21.67,21.94,21.945,21.665,1686801600000,18518
10224119.0,22.0901,22.08,22.18,22.22,21.92,1686888000000,16152
24042197.0,21.2819,21.4101,21.26,21.445,21.165,1687233600000,38212
19677999.0,20.8481,20.95,20.84,20.9709,20.65,1687320000000,28177
17066522.0,20.5799,20.63,20.53,20.71,20.46,1687406400000,28209
13003764.0,20.5942,20.65,20.58,20.83,20.46,1687492800000,22906
12880100.0,20.9134,20.85,20.9,21.0,20.735,1687752000000,23622
14341689.0,21.0261,21.17,20.98,21.2,20.885,1687838400000,18516
8188353.0,20.8808,20.86,20.84,20.99,20.71,1687924800000,15490
13780879.0,20.6798,20.56,20.72,20.82,20.45,1688011200000,20819
10504635.0,20.8315,20.65,20.89,20.9699,20.57,1688097600000,20785
9134951.0,21.0567,21.05,21.01,21.18,21.0,1688356800000,14679
13306200.0,21.2424,21.32,21.21,21.35,21.1,1688529600000,24230
12544356.0,20.8372,21.02,20.83,21.03,20.6714,1688616000000,23374
10657886.0,21.12,20.92,21.18,21.24,20.92,1688702400000,18799
8670769.0,21.1677,21.05,21.24,21.25,21.05,1688961600000,15877
6771672.0,21.2086,21.25,21.2,21.3,21.1248,1689048000000,14293
24114723.0,22.0167,21.91,22.15,22.16,21.8801,1689134400000,34867
22406742.0,22.6366,22.49,22.78,22.78,22.4146,1689220800000,33336
16802407.0,22.8661,22.79,22.86,22.96,22.71,1689307200000,27228
9101942.0,22.7585,22.69,22.79,22.82,22.57,1689566400000,16775
14769806.0,22.9533,22.81,22.99,23.1,22.73,1689652800000,20289
12589285.0,23.063,23.0,23.1,23.155,22.92,1689739200000,18370
16215147.0,22.8591,23.1,22.68,23.1299,22.67,1689825600000,23104
11278976.0,22.633,22.68,22.57,22.7109,22.56,1689912000000,21513
15105389.0,22.3771,22.4,22.33,22.46,22.2648,1690171200000,23058
10753401.0,22.6067,22.57,22.62,22.69,22.46,1690257600000,16647
24549841.0,22.801,22.58,22.91,22.9699,22.5,1690344000000,28552
27325215.0,22.2213,22.5,22.11,22.52,22.06,1690430400000,37646
