v,vw,o,c,h,l,t,n
14240580.6,145.6032,145.55,146.0,146.45,144.35,1683604800000,158901
27773511.8,142.6784,142.7,141.35,146.1,140.1,1683691200000,335932
21977330.8,140.9679,140.8,140.2,142.85,139.4,1683777600000,248112
20297230.0,142.1267,139.55,141.7,144.425,139.0,1683864000000,223310
17349291.8,140.8301,141.15,139.5,143.2,139.2,1684123200000,201413
19944698.6,138.2653,140.55,139.05,140.55,136.85,1684209600000,239366
22484887.8,135.7849,137.8,134.05,139.3,133.3,1684296000000,255055
29271587.8,129.731,133.75,126.9,133.8,126.55,1684382400000,332454
23163831.8,127.5966,126.65,127.8,128.95,125.8,1684468800000,242164
15982133.6,126.5358,128.05,126.5,128.1,125.323,1684728000000,172088
22287772.6,129.3181,128.5,131.35,131.8,127.25,1684814400000,218651
26188171.6,133.9464,133.75,133.35,135.95,131.95,1684900800000,292946
29795755.6,124.8678,124.6,124.0,127.65,122.4,1684987200000,335728
32864707.4,116.9407,122.9,114.55,123.0,113.6,1685073600000,349177
27626557.0,111.9384,110.25,112.95,114.4,109.1,1685419200000,278465
25786838.2,114.8431,114.6,115.3,116.4,112.6,1685505600000,248386
23539992.2,112.7335,115.35,111.1,116.45,109.75,1685592000000,234838
23727530.2,108.9965,109.45,108.7,111.175,107.55,1685678400000,223673
24802804.4,107.746,108.85,108.5,109.45,106.1,1685937600000,235055
18680652.4,108.9216,109.1,108.6,110.4,107.7,1686024000000,167582
28169482.4,111.7525,108.4,114.2,114.8,106.5555,1686110400000,274593
21360393.6,111.5112,114.05,110.25,114.3,109.6,1686196800000,204532
23687865.4,108.1854,108.8,108.925,110.3,105.95,1686283200000,235941
21005812.6,105.7954,107.4,103.45,108.3,103.3,1686542400000,224169
28266777.2,101.8294,101.05,101.1,103.875,100.35,1686628800000,259329
32965940.0,100.5172,101.1,98.9,103.5,98.7,1686715200000,295554
33421286.6,97.0852,100.15,95.65,100.65,94.3005,1686801600000,314841
25524506.0,95.9007,93.75,97.45,97.8,93.65,1686888000000,215602
22267253.4,98.4774,98.675,97.85,100.3,96.75,1687233600000,203354
25011736.6,99.6203,97.55,100.45,101.3,97.2,1687320000000,226102
23788925.2,99.1089,101.75,97.1,102.1,97.05,1687406400000,211578
25162845.6,99.9051,100.4,100.1,101.475,98.2005,1687492800000,214483
21939426.0,101.4205,100.55,104.05,104.2,98.25,1687752000000,203189
23688673.4,100.7589,102.85,98.9,103.5,98.2,1687838400000,213500
26450435.0,98.5759,100.35,98.25,100.45,96.7,1687924800000,219226
22795344.4,99.1645,98.65,99.0,100.4,98.1,1688011200000,171737
24162899.6,94.6918,96.05,94.55,96.35,93.65,1688097600000,218420
8481381.6,94.2451,94.1,93.95,94.9495,93.45,1688356800000,82556
17530148.8,93.805,95.2,93.95,95.2,92.65,1688529600000,148156
20976831.0,97.1353,96.95,96.2,98.5,95.9,1688616000000,186375
19509478.4,95.7011,96.5,97.25,97.45,93.95,1688702400000,177452
19254778.0,97.9037,97.55,97.15,99.6,96.65,1688961600000,165597
17734125.4,97.0024,96.9,95.8,98.65,95.45,1689048000000,140752
26583724.0,92.4905,92.6,92.2,94.2,91.15,1689134400000,236636
23179484.0,88.8162,89.95,87.7,90.4,87.05,1689220800000,223504
24170489.4,86.7421,87.4,87.75,88.4,85.15,1689307200000,202581
17158283.6,86.2212,87.325,85.4,87.65,84.75,1689566400000,142659
23796791.2,84.5861,85.85,83.3,87.15,82.35,1689652800000,187493
23974219.0,83.1078,82.65,83.3,84.3,81.9,1689739200000,177884
29484153.0,87.263,85.5,89.25,89.978,84.5,1689825600000,233964
26567557.6,89.0617,87.6,90.15,90.45,87.05,1689912000000,198545
16723147.0,89.8675,89.5,89.7,91.15,88.75,1690171200000,136370
16743329.4,87.9402,89.25,87.9,89.3,86.75,1690257600000,138793
24427695.2,89.2404,88.75,88.8,90.5,87.65,1690344000000,189329
33173079.4,86.6889,85.05,89.65,90.6,83.9,1690430400000,254958
31250704.0,85.2081,86.75,84.8,87.1,84.05,1690516800000,235909
17238918.4,84.8808,84.625,84.55,85.6,83.9,1690776000000,130169
21617229.4,85.52,85.65,85.3,86.75,84.8,1690862400000,161616
35149256.8,90.141,87.75,90.9,91.85,87.7,1690948800000,277440
28252774.8,91.4024,92.9,91.6,93.0,89.95,1691035200000,241458
32165225.8,90.804,90.15,92.85,93.25,88.45,1691121600000,251637
21629923.0,91.8454,91.6,90.55,93.35,90.5,1691380800000,169277
23970025.6,93.911,92.5,92.95,95.25,92.5,1691467200000,195663
28504409.6,94.9666,92.75,96.0,96.65,92.65,1691553600000,205788
35500860.8,94.232,93.75,95.65,96.8505,91.05,1691640000000,268937
26865665.2,97.6219,97.775,97.55,98.75,96.2,1691726400000,222888
26686463.2,95.8381,98.25,94.3,98.85,94.225,1691985600000,200607
23359004.8,96.3569,95.15,97.3,97.9,94.5,1692072000000,184131
27358828.0,98.5726,97.85,100.5,100.6,96.6,1692158400000,222002
29268244.8,101.7997,99.45,103.9,104.3,99.2,1692244800000,247218
32885530.6,105.4225,106.9,104.4,107.4,103.25,1692331200000,272672
26818829.6,101.2778,103.15,99.35,103.6,98.8,1692590400000,237002
23956071.0,99.197,97.35,99.9,100.45,97.25,1692676800000,195408
26474569.4,95.7107,98.95,95.15,99.1495,94.3,1692763200000,230569
30493227.6,97.7888,92.6,101.55,101.6,92.5,1692849600000,253270
42804560.8,100.7808,100.775,99.1,103.75,97.6615,1692936000000,326265
22130719.6,97.6858,96.75,96.9,98.996,96.15,1693195200000,178343
27353079.6,92.5353,97.15,90.7,97.4,90.35,1693281600000,254600
23872153.8,89.708,90.575,89.15,91.35,88.7475,1693368000000,200635
20754932.8,88.1919,89.3,88.55,89.3,87.25,1693454400000,171396
22689857.4,88.746,86.85,88.85,89.95,86.55,1693540800000,181506
17754476.8,88.7897,89.5,88.6,90.15,87.7,1693886400000,146365
24212487.8,91.029,89.15,90.9,92.4,88.95,1693972800000,182032
